total_number_account,Amount_Allocated,Amount_Collected,Account_number,Cusstomer Name ,No_unique_visit,Bucket,Agency Name,Regions,Zone,Sector,product_type
2139,9665,9664,L16222337474052X,Ebibgl Ukuhjo,16,SMA 2,Agency 5,Meghalaya,North + Union Territories,Telecommunications,Education Loan
670,89174,89173,V13271317405144K,Cpoleg Jvemjz,18,SMA 2,Agency 5,Mizoram,South + East India,Healthcare,Gold Loan
707,7743,7742,V92578805142394M,Zcmcdt Upklwv,13,SMA 1,Agency 5,Nagaland,South + West India,Pharmaceuticals,Gold Loan
1180,35441,35440,H40361505082753M,Hjoaij Pkkvcj,11,SMA 2,Agency 2,Tripura,South + Northeast India,Healthcare,Gold Loan
2083,135356,135355,B38221999608431Q,Dareks Pbqrav,10,SMA 2,Agency 8,and the hill states of Himachal Pradesh,South + Central India,Automotive,Consumer Durable Loan
1813,77257,77256,N83027030181702C,Dbtgjo Epsimj,19,SMA 2,Agency 4,Tripura,South + Union Territories,Retail,Personal Loan
927,87130,87129,G38245957816953X,Kzsrdw Tlsnso,14,SMA 1,Agency 7,and Sikkim,East + West India,Automotive,Car Loan
488,190611,137247,F64948947135232R,Pboryr Blqjmp,11,SMA 0,Agency 1,Chhattisgarh,East + Northeast India,Pharmaceuticals,Education Loan
540,116109,116108,K62317974750301P,Uumudg Gjkwvx,16,SMA 0,Agency 6,Madhya Pradesh,East + Central India,Healthcare,Personal Loan
495,68445,33174,O31282737041978Y,Qkvcfh Rmyziy,13,SMA 2,Agency 3,Andaman and Nicobar Islands,East + Union Territories,Finance,Loan Against Property
1057,87224,87223,Z67829022188536K,Vgyfxv Omkpgg,12,SMA 1,Agency 1,Chandigarh,West + Northeast India,Pharmaceuticals,Gold Loan
332,112228,112227,V70014990869703J,Dulkdm Amaapi,13,SMA 0,Agency 5,Dadra and Nagar Haveli and Daman and Diu,West + Central India,Finance,Car Loan
2364,97054,97053,S25238792690672H,Xeuqox Eytbog,19,SMA 0,Agency 4,Lakshadweep,West + Union Territories,Food and Beverage,Personal Loan
1943,138059,138058,F96896313093112T,Uhluot Gukucv,14,SMA 2,Agency 8,Puducherry,Northeast + Central India,Retail,Loan Against Property
1878,244487,182527,V20494122655840X,Mpjhqf Fuseje,16,SMA 2,Agency 3,Delhi,Northeast + Union Territories,Technology,Consumer Durable Loan
980,237274,121239,P30007190894878O,Umkxpw Lzgnvy,11,SMA 2,Agency 4,Haryana,Central + Union Territories,Pharmaceuticals,Car Loan
1783,106633,106632,E34472855045348D,Anbzon Wdqnzp,18,SMA 2,Agency 1,Himachal Pradesh,North + East India,Healthcare,Car Loan
2115,158684,93214,C51644352843304S,Irfqhd Edsjfd,17,SMA 2,Agency 4,Jammu and Kashmir,North + West India,Technology,Education Loan
1853,205290,205289,C70994649341026F,Zkmdmc Pydftd,17,SMA 0,Agency 1,Punjab,North + Northeast India,Technology,Personal Loan
475,49936,49935,S29574612220773W,Wnjzji Xfisan,17,SMA 2,Agency 8,Rajasthan,North + Central India,Technology,Car Loan
1021,145773,135445,T60717217483513Q,Zoopzl Zthfoz,19,SMA 1,Agency 3,Uttar Pradesh,North + Union Territories,Automotive,Business Loan
1859,65927,65926,G55409271743131U,Yineui Xzclzm,14,SMA 0,Agency 3,Uttarakhand,South + East India,Retail,Education Loan
1545,71210,71209,R89731266856130W,Uefdrn Ypqtyj,13,SMA 2,Agency 5,Andhra Pradesh,South + West India,Pharmaceuticals,Mortgage Loan
2267,199297,93254,W79250366143502N,Ieoxya Tuknbb,14,SMA 0,Agency 1,Karnataka,South + Northeast India,Manufacturing,Mortgage Loan
926,79618,79617,P59829294976112K,Hdrkjw Oxkckv,12,SMA 2,Agency 6,Kerala,South + Central India,Manufacturing,Gold Loan
682,90184,90183,O70173169113530F,Hgcing Nzckzx,20,SMA 1,Agency 4,Tamil Nadu,South + Union Territories,Automotive,Consumer Durable Loan
503,239743,160147,S57520696449818T,Lihnuh Bsoejz,15,SMA 1,Agency 1,Telangana,East + West India,Retail,Gold Loan
630,58237,23983,C47917575386735X,Nuwkeb Vfkfrg,13,SMA 2,Agency 8,Bihar,East + Northeast India,Manufacturing,Consumer Durable Loan
564,61401,61400,C22846913412923W,Dhlzlp Aozhqq,11,SMA 0,Agency 3,Jharkhand,East + Central India,Telecommunications,Business Loan
2224,26199,26198,C73387873277805M,Kyppiw Hpvcsh,18,SMA 1,Agency 1,Odisha,East + Union Territories,Food and Beverage,Business Loan
2443,242091,67815,B75568799536203L,Lxltli Eoxggz,19,SMA 1,Agency 2,West Bengal,West + Northeast India,Healthcare,Education Loan
488,77945,77944,I30621528435032N,Luueox Ckctsw,14,SMA 0,Agency 5,Sikkim,West + Central India,Food and Beverage,Gold Loan
793,232111,89772,U60907248454589L,Aatgyi Xvavzq,11,SMA 2,Agency 1,Andaman and Nicobar Islands,West + Union Territories,Healthcare,Mortgage Loan
1494,175423,175422,V96658764779834Q,Yooirk Ogihcf,18,SMA 0,Agency 5,Goa,Northeast + Central India,Pharmaceuticals,Business Loan
230,147406,147405,F45126209271767N,Rzykqr Hourtv,18,SMA 2,Agency 4,Gujarat,Northeast + Union Territories,Healthcare,Car Loan
991,88369,88368,M84332468052461H,Hlmldr Jsuktu,15,SMA 2,Agency 8,Maharashtra,Central + Union Territories,Automotive,Gold Loan
2337,76548,76547,I98260427292132L,Utpdxz Jpstkm,13,SMA 0,Agency 3,Dadra and Nagar Haveli and Daman and Diu,North + East India,Food and Beverage,Car Loan
1133,47672,47671,O21371270614859J,Ejlrhu Rhrucz,19,SMA 0,Agency 4,Arunachal Pradesh,North + West India,Energy,Gold Loan
518,162839,110384,C89230972687701I,Qwbynj Yckzmg,12,SMA 0,Agency 5,Assam,North + Northeast India,Food and Beverage,Consumer Durable Loan
878,214251,152004,F68825176167824E,Uaaymc Adropn,20,SMA 0,Agency 5,Manipur,North + Central India,Healthcare,Gold Loan
1399,207658,31167,E52015043696885X,Yrhlbz Cflhsk,14,SMA 2,Agency 3,Meghalaya,North + Union Territories,Automotive,Consumer Durable Loan
519,64883,64882,U27693176951463M,Nsliqc Msvdyx,12,SMA 2,Agency 4,Mizoram,South + East India,Finance,Gold Loan
501,73469,73468,Q75404694398245Z,Xtklbn Ltnzvl,19,SMA 0,Agency 6,Nagaland,South + West India,Automotive,Mortgage Loan
1917,137757,42578,H30925608654167V,Netzuu Auykrp,12,SMA 2,Agency 2,Tripura,South + Northeast India,Pharmaceuticals,Overdraft Facility
1243,62161,62160,F52700237912557W,Kfsych Ptgscd,18,SMA 2,Agency 6,and the hill states of Himachal Pradesh,South + Central India,Telecommunications,Loan Against Property
1406,206411,146610,Z63604673591826K,Yadrmv Yazeit,13,SMA 0,Agency 4,Tripura,South + Union Territories,Pharmaceuticals,Overdraft Facility
397,76810,36760,Q87415902436262Y,Zylwgn Pqkglo,20,SMA 1,Agency 3,and Sikkim,East + West India,Retail,Home Loan
371,227661,129772,X51471985928523G,Hbryen Yzozly,12,SMA 1,Agency 5,Chhattisgarh,East + Northeast India,Automotive,Loan Against Property
1620,140382,140381,N91046600154027A,Xqllml Hcswzu,16,SMA 0,Agency 2,Madhya Pradesh,East + Central India,Automotive,Personal Loan
847,7875,7874,S90706219443996O,Polrtz Omawei,16,SMA 0,Agency 3,Andaman and Nicobar Islands,East + Union Territories,Food and Beverage,Business Loan
485,179466,116075,C42467826669689H,Niwkzq Ttjiwj,18,SMA 1,Agency 1,Chandigarh,West + Northeast India,Food and Beverage,Education Loan
1382,230732,230731,X25014615616870M,Tumiiw Incjxg,16,SMA 2,Agency 5,Dadra and Nagar Haveli and Daman and Diu,West + Central India,Finance,Gold Loan
1792,165584,165583,T42966695596388Q,Wstpvc Hgnalm,16,SMA 0,Agency 2,Lakshadweep,West + Union Territories,Manufacturing,Personal Loan
2497,226659,11370,Q42266355663891Z,Xlcoxi Yiovfl,16,SMA 0,Agency 2,Delhi,Northeast + Central India,Technology,Gold Loan
1017,180677,97823,F85447976964208X,Ysvxkz Tbhhgy,13,SMA 0,Agency 1,Haryana,Northeast + Union Territories,Automotive,Car Loan
2129,39426,39425,Q67567367115239Q,Ofwzol Jahgxk,19,SMA 0,Agency 4,Himachal Pradesh,Central + Union Territories,Technology,Loan Against Property
1312,30154,30153,B18992523747501A,Hulznq Ztdjwc,10,SMA 0,Agency 5,Jammu and Kashmir,North + East India,Technology,Car Loan
1293,137695,76287,B31926204685979J,Ikvqgo Keeajr,14,SMA 0,Agency 8,Punjab,North + West India,Finance,Loan Against Property
1828,197835,142162,J98069148988923T,Fqlsbb Hneedz,16,SMA 0,Agency 2,Rajasthan,North + Northeast India,Automotive,Education Loan
2237,55522,51838,B49882530777708J,Miooxn Yjdmrp,15,SMA 0,Agency 3,Uttar Pradesh,North + Central India,Automotive,Mortgage Loan
1967,135931,128963,B50874691627930G,Fjxgoj Tdwjak,18,SMA 1,Agency 1,Uttarakhand,North + Union Territories,Telecommunications,Gold Loan
2124,703,702,O25990593744083P,Veqznw Vozkuc,18,SMA 0,Agency 1,Andhra Pradesh,South + East India,Retail,Home Loan
1532,221706,209457,A62570856480660M,Enzhzi Ltlaoz,18,SMA 0,Agency 8,Karnataka,South + West India,Energy,Personal Loan
1426,237316,153894,T81692957234639N,Lqxpmg Omxvve,15,SMA 1,Agency 7,Kerala,South + Northeast India,Telecommunications,Gold Loan
418,168212,20276,F34873977724851O,Qhicah Pdohgs,15,SMA 2,Agency 2,Tamil Nadu,South + Central India,Pharmaceuticals,Consumer Durable Loan
1952,171647,72924,O12364248100597W,Srfdrf Iocynx,15,SMA 1,Agency 6,Telangana,South + Union Territories,Manufacturing,Mortgage Loan
1268,64372,64371,G38624005408976D,Utanoy Ogjsra,13,SMA 0,Agency 4,Bihar,East + West India,Manufacturing,Home Loan
1720,50414,50413,X79535571223048B,Cgounr Wyclrs,11,SMA 2,Agency 5,Jharkhand,East + Northeast India,Telecommunications,Gold Loan
2493,149810,129141,M13536906949032F,Valuav Iihmqm,13,SMA 0,Agency 7,Odisha,East + Central India,Finance,Car Loan
2369,65495,65494,F15215998669505O,Nhzgcu Gfviua,15,SMA 1,Agency 7,West Bengal,East + Union Territories,Technology,Business Loan
1843,102724,102723,H65413905543480M,Zafagv Wcvbxx,11,SMA 0,Agency 4,Sikkim,West + Northeast India,Retail,Personal Loan
108,189053,46174,U48266320457392Y,Jermau Tadzwk,12,SMA 1,Agency 2,Andaman and Nicobar Islands,West + Central India,Manufacturing,Education Loan
1351,159869,137714,P42684052824618S,Lauzuh Taqybc,10,SMA 0,Agency 5,Goa,West + Union Territories,Technology,Overdraft Facility
666,108459,108458,P77722729389975U,Avnkbq Xpwccl,15,SMA 1,Agency 8,Gujarat,Northeast + Central India,Telecommunications,Car Loan
534,229632,34185,Q84546156477155D,Uvcbbs Bpxsqe,14,SMA 1,Agency 1,Maharashtra,Northeast + Union Territories,Retail,Personal Loan
536,237849,115288,U96537948714828S,Fwunvn Nvfwlm,14,SMA 1,Agency 5,Dadra and Nagar Haveli and Daman and Diu,Central + Union Territories,Manufacturing,Consumer Durable Loan
872,143747,14810,W21223137082693R,Mdtnlw Mcccva,16,SMA 2,Agency 1,Arunachal Pradesh,North + East India,Technology,Loan Against Property
146,47008,47007,J94809892517053G,Cwjbeh Ltujet,19,SMA 2,Agency 5,Assam,North + West India,Manufacturing,Personal Loan
1269,1218,174,K62645247967248P,Zwfelj Idflhs,17,SMA 0,Agency 2,Manipur,North + Northeast India,Finance,Car Loan
786,223368,198183,W14610316415804D,Pgzbcn Vlfdya,16,SMA 1,Agency 5,Meghalaya,North + Central India,Finance,Loan Against Property
1450,54054,54053,M20247422955794Y,Oizgpj Pmgrom,14,SMA 0,Agency 7,Mizoram,North + Union Territories,Finance,Loan Against Property
1164,25729,25728,M30757277477823H,Lwszsi Euwowi,19,SMA 0,Agency 6,Nagaland,South + East India,Automotive,Gold Loan
1465,67913,67912,J21489073174704Q,Szaxtz Fudkvk,12,SMA 0,Agency 7,Tripura,South + West India,Manufacturing,Education Loan
347,111744,111743,M67021212777748L,Zvipjh Xirhfh,20,SMA 2,Agency 5,and the hill states of Himachal Pradesh,South + Northeast India,Automotive,Loan Against Property
1003,247494,144334,P58518190054856S,Mxyhgx Qapucd,10,SMA 0,Agency 2,Tripura,South + Central India,Energy,Personal Loan
1021,44921,44920,V53665459576745A,Fsnfgs Kdpgdy,11,SMA 2,Agency 7,and Sikkim,South + Union Territories,Finance,Car Loan
1665,195730,103302,U73161088111555U,Szxvqh Olgfbk,19,SMA 1,Agency 6,Chhattisgarh,East + West India,Food and Beverage,Overdraft Facility
2132,169841,81474,T37381785530547I,Uswlss Wjeont,19,SMA 2,Agency 3,Madhya Pradesh,East + Northeast India,Telecommunications,Overdraft Facility
1649,189165,160235,Y44007692546141F,Ximdrs Tsmjsv,13,SMA 2,Agency 5,Andaman and Nicobar Islands,East + Central India,Automotive,Education Loan
113,106145,106144,O64322390758154O,Owrinu Pjcght,11,SMA 0,Agency 6,Chandigarh,East + Union Territories,Manufacturing,Personal Loan
514,200260,200259,M41308850670276P,Zxdkht Jruyyx,16,SMA 0,Agency 4,Dadra and Nagar Haveli and Daman and Diu,West + Northeast India,Healthcare,Overdraft Facility
2380,46835,46834,Y21734594692569N,Cuoyld Reqtuq,15,SMA 0,Agency 6,Lakshadweep,West + Central India,Finance,Overdraft Facility
783,133450,19317,W25264912676094C,Zczpsa Ytbtmb,10,SMA 2,Agency 7,Puducherry,West + Union Territories,Automotive,Loan Against Property
1087,199387,199386,H98930698860046Z,Pduzos Iimhha,17,SMA 1,Agency 6,Delhi,Northeast + Central India,Technology,Car Loan
485,207614,116730,M16420625689755L,Kzqtld Myopql,12,SMA 2,Agency 2,Haryana,Northeast + Union Territories,Retail,Mortgage Loan
679,46883,46882,B88262892790106D,Exbgbt Oesbso,15,SMA 1,Agency 8,Himachal Pradesh,Central + Union Territories,Manufacturing,Business Loan
660,232084,81905,J79913789129595O,Hsfjvk Txnryc,14,SMA 2,Agency 3,Jammu and Kashmir,North + East India,Healthcare,Consumer Durable Loan
460,98391,98390,Z20289599858069I,Uifhyh Jqivkl,12,SMA 1,Agency 3,Punjab,North + West India,Food and Beverage,Gold Loan
1005,107035,20274,Y33133191133040M,Eujyej Drwufu,14,SMA 0,Agency 1,Rajasthan,North + Northeast India,Automotive,Personal Loan
1495,26500,26499,J42922146565375P,Jsklwu Attomh,14,SMA 1,Agency 2,Uttar Pradesh,North + Central India,Food and Beverage,Home Loan
1066,90566,90565,X40131923662935P,Bemsig Annwrl,13,SMA 1,Agency 6,Uttarakhand,North + Union Territories,Healthcare,Overdraft Facility
458,17693,17692,S24492144687844E,Gmqdpb Bqfkay,14,SMA 0,Agency 7,Andhra Pradesh,South + East India,Retail,Education Loan
1272,85064,85063,T87222473063688U,Pnwnox Qucbwq,15,SMA 1,Agency 4,Karnataka,South + West India,Energy,Education Loan
370,127342,127341,I52920892732751V,Ickjfw Corwvh,18,SMA 0,Agency 2,Kerala,South + Northeast India,Automotive,Consumer Durable Loan
698,98482,98481,Z54089147242829I,Hursdx Opflid,19,SMA 1,Agency 1,Tamil Nadu,South + Central India,Finance,Car Loan
1456,230760,187648,F26238464451649K,Legfof Yqrdix,14,SMA 1,Agency 3,Telangana,South + Union Territories,Automotive,Loan Against Property
2221,203499,88696,W35340874311762B,Venlwn Fxsqdi,20,SMA 2,Agency 8,Bihar,East + West India,Energy,Personal Loan
2143,127814,46549,Q32043661025889N,Yjdwyi Pqizhf,11,SMA 0,Agency 1,Jharkhand,East + Northeast India,Retail,Business Loan
1956,38515,38514,J51874533398631V,Ciyxvi Felyad,10,SMA 2,Agency 6,Odisha,East + Central India,Food and Beverage,Overdraft Facility
1034,12567,12566,Q37902635483139X,Ofnajd Sasxwn,19,SMA 1,Agency 4,West Bengal,East + Union Territories,Food and Beverage,Loan Against Property
2307,140719,122074,X80664667541478V,Iecigm Obgthy,14,SMA 2,Agency 4,Sikkim,West + Northeast India,Healthcare,Business Loan
2131,105144,105143,N71083821157080F,Grudgc Ofhdxa,12,SMA 2,Agency 2,Andaman and Nicobar Islands,West + Central India,Finance,Overdraft Facility
449,196852,121803,M62199506038516O,Gosaov Bpaile,14,SMA 2,Agency 1,Goa,West + Union Territories,Healthcare,Business Loan
1253,143870,143869,S70067353691839Y,Edvwfl Xvqbpa,10,SMA 2,Agency 1,Gujarat,Northeast + Central India,Energy,Gold Loan
1379,197734,10060,T20699367749403J,Jqptao Fghjcy,19,SMA 2,Agency 6,Maharashtra,Northeast + Union Territories,Technology,Home Loan
1591,157724,157723,R91533141007391G,Uerwhg Rxgcud,16,SMA 0,Agency 2,Dadra and Nagar Haveli and Daman and Diu,Central + Union Territories,Manufacturing,Consumer Durable Loan
296,30613,15214,H86452649142926E,Jneohn Vbflxc,14,SMA 1,Agency 5,Arunachal Pradesh,North + East India,Finance,Home Loan
166,18386,18385,M67929035735699Z,Rmxcng Xgckjw,18,SMA 2,Agency 2,Assam,North + West India,Finance,Overdraft Facility
1694,11906,11905,Y70072180365358Z,Exgcxg Addfjm,19,SMA 0,Agency 6,Manipur,North + Northeast India,Telecommunications,Mortgage Loan
496,174159,44739,D34930277287598N,Gegune Okutyj,18,SMA 2,Agency 4,Meghalaya,North + Central India,Manufacturing,Personal Loan
468,215034,211293,N99031174333350H,Kjxoqo Tzeyce,16,SMA 0,Agency 2,Mizoram,North + Union Territories,Food and Beverage,Business Loan
264,136032,110432,Z82617248482814R,Fqzfbf Joatpq,15,SMA 2,Agency 1,Nagaland,South + East India,Finance,Business Loan
200,99271,99270,P16748572509291E,Xkzlaw Bfotei,13,SMA 2,Agency 2,Tripura,South + West India,Technology,Consumer Durable Loan
378,232316,169398,P17582312217948U,Lyzydq Iuwiyr,12,SMA 1,Agency 5,and the hill states of Himachal Pradesh,South + Northeast India,Pharmaceuticals,Mortgage Loan
176,86683,86682,M21596622319531Q,Wyaedz Ciftiu,18,SMA 2,Agency 3,Tripura,South + Central India,Retail,Loan Against Property
529,19269,19268,U95158442561514H,Ecnsvr Qbgsor,19,SMA 0,Agency 1,and Sikkim,South + Union Territories,Finance,Car Loan
2134,198314,155653,H10545625501950F,Orxmwn Ntluhb,19,SMA 0,Agency 5,Chhattisgarh,East + West India,Retail,Overdraft Facility
438,16430,16429,B76607610060567N,Pyezfp Hbnxme,18,SMA 0,Agency 7,Madhya Pradesh,East + Northeast India,Retail,Loan Against Property
1065,71543,24405,V61331582162620F,Cydhhd Hotlaj,14,SMA 0,Agency 5,Andaman and Nicobar Islands,East + Central India,Food and Beverage,Home Loan
1071,240197,59220,O22864259444604Q,Hsofhu Rmsagh,12,SMA 0,Agency 1,Chandigarh,East + Union Territories,Finance,Mortgage Loan
2133,97482,97481,D81037013952372A,Sdatzf Yfibrr,12,SMA 1,Agency 7,Dadra and Nagar Haveli and Daman and Diu,West + Northeast India,Energy,Business Loan
2402,14665,14664,Y50912643278242X,Kkyxyq Qznbit,13,SMA 2,Agency 7,Lakshadweep,West + Central India,Finance,Car Loan
663,196889,15855,Z58739038487595C,Ktcflo Fccvlx,12,SMA 2,Agency 8,Puducherry,West + Union Territories,Food and Beverage,Car Loan
1804,155087,88637,R27014808764685E,Vnjqbj Dxtply,17,SMA 2,Agency 7,Delhi,Northeast + Central India,Retail,Car Loan
745,19809,19808,B15122379649719W,Ovpiwb Juwspw,11,SMA 1,Agency 8,Haryana,Northeast + Union Territories,Food and Beverage,Home Loan
1214,189123,189122,X60115558956449K,Ncqigc Kcykpg,20,SMA 1,Agency 1,Himachal Pradesh,Central + Union Territories,Energy,Loan Against Property
2425,138284,138283,D26360328314584T,Qfimah Emqzqb,15,SMA 2,Agency 6,Jammu and Kashmir,North + East India,Pharmaceuticals,Personal Loan
214,241725,205312,Z72243792014794U,Vlzdzi Wzabbt,17,SMA 1,Agency 5,Punjab,North + West India,Telecommunications,Loan Against Property
1945,16486,8827,F23551204975971F,Jgkujh Lnewko,14,SMA 2,Agency 8,Rajasthan,North + Northeast India,Retail,Home Loan
160,31856,9975,G35184275130203H,Mvaany Kfgmkn,12,SMA 2,Agency 5,Uttar Pradesh,North + Central India,Energy,Personal Loan
1403,166004,166003,H42920038914951A,Ityvxu Wrztnb,15,SMA 1,Agency 3,Uttarakhand,North + Union Territories,Healthcare,Education Loan
183,137267,137266,H16696647482679N,Kncyyr Fvwnul,20,SMA 2,Agency 4,Andhra Pradesh,South + East India,Automotive,Business Loan
1900,69630,69629,E80067767233530W,Cjnxzm Hhhlri,16,SMA 2,Agency 8,Karnataka,South + West India,Finance,Consumer Durable Loan
2102,73542,73541,Y95662163412237M,Iwrnhu Qqyqio,19,SMA 0,Agency 8,Kerala,South + Northeast India,Energy,Business Loan
2192,38197,38196,A50515267222764A,Fvkonh Avzcut,20,SMA 0,Agency 1,Tamil Nadu,South + Central India,Pharmaceuticals,Mortgage Loan
1132,207324,149678,S46345253035747J,Fxljcm Mmxdrg,12,SMA 2,Agency 4,Telangana,South + Union Territories,Energy,Education Loan
142,207442,93891,A29997206061152W,Rlobcu Rzbcvb,12,SMA 2,Agency 2,Bihar,East + West India,Pharmaceuticals,Loan Against Property
849,11828,11827,J53232553829488K,Ucspik Hwwtvr,15,SMA 0,Agency 6,Jharkhand,East + Northeast India,Technology,Gold Loan
1057,52502,36945,V90936714949366S,Phhgbd Xnzbwz,16,SMA 0,Agency 5,Odisha,East + Central India,Pharmaceuticals,Gold Loan
1420,4419,4418,F82027621932573M,Ndcmfp Odihzl,20,SMA 1,Agency 8,West Bengal,East + Union Territories,Healthcare,Home Loan
513,34423,34422,S16002599921345A,Mzdrcp Kbtzyp,10,SMA 1,Agency 1,Sikkim,West + Northeast India,Pharmaceuticals,Consumer Durable Loan
1444,117899,117898,M36977127818236X,Groqzj Npnyyg,15,SMA 2,Agency 5,Andaman and Nicobar Islands,West + Central India,Energy,Education Loan
2167,239673,206408,W70489586155353K,Mpcwjc Tjslgc,13,SMA 2,Agency 7,Goa,West + Union Territories,Finance,Education Loan
2203,5191,5190,W30179098420949V,Xauqfr Czbiei,10,SMA 1,Agency 6,Gujarat,Northeast + Central India,Technology,Mortgage Loan
431,171654,171653,N37605168891289K,Kqarwh Pwmsxg,20,SMA 2,Agency 6,Maharashtra,Northeast + Union Territories,Technology,Loan Against Property
2253,161116,161115,P55767402707376N,Tgtzww Ppvhgi,18,SMA 1,Agency 6,Dadra and Nagar Haveli and Daman and Diu,Central + Union Territories,Telecommunications,Education Loan
1417,51869,3433,M40050575476312P,Pfhjwm Xvrozk,18,SMA 0,Agency 8,Arunachal Pradesh,North + East India,Telecommunications,Home Loan
139,208471,15469,W86506166167189H,Uuljrn Xflfqb,17,SMA 0,Agency 8,Assam,North + West India,Telecommunications,Loan Against Property
853,234191,135434,E78788062730648G,Oewvoj Nsnmey,11,SMA 2,Agency 6,Manipur,North + Northeast India,Manufacturing,Mortgage Loan
2163,151851,28775,F90411365826140M,Ajwjcj Oxuytl,11,SMA 1,Agency 4,Meghalaya,North + Central India,Technology,Consumer Durable Loan
1278,2950,2949,H58038000255276E,Sfbuhi Wzkuig,10,SMA 1,Agency 7,Mizoram,North + Union Territories,Manufacturing,Mortgage Loan
395,182809,130438,P75343547373910X,Ppyisy Afpipr,13,SMA 1,Agency 8,Nagaland,South + East India,Pharmaceuticals,Overdraft Facility
291,241972,173072,M28218599317116Y,Otkofk Kugnfg,17,SMA 0,Agency 8,Tripura,South + West India,Telecommunications,Home Loan
2436,181979,59960,Y42554541035453M,Tzmhse Huvryr,16,SMA 2,Agency 6,and the hill states of Himachal Pradesh,South + Northeast India,Manufacturing,Gold Loan
1494,91150,17104,R29548168657321T,Josycz Lzmfaz,14,SMA 2,Agency 4,Tripura,South + Central India,Healthcare,Home Loan
2369,152820,19321,U88432970334301F,Dipftf Prwezs,16,SMA 2,Agency 5,and Sikkim,South + Union Territories,Retail,Car Loan
1775,239001,48264,N85594313599023D,Kkfoch Rspnjy,13,SMA 2,Agency 4,Chhattisgarh,East + West India,Healthcare,Loan Against Property
2371,19226,4247,Q13587853556443M,Mumpzg Ttxnkc,13,SMA 2,Agency 4,Madhya Pradesh,East + Northeast India,Food and Beverage,Home Loan
786,212566,212565,F81553910369474Z,Avnrnm Qjiqnd,12,SMA 2,Agency 6,Andaman and Nicobar Islands,East + Central India,Manufacturing,Business Loan
1801,154888,26960,J79262762064339B,Adfrcd Mgyctw,11,SMA 0,Agency 7,Chandigarh,East + Union Territories,Telecommunications,Home Loan
2279,176300,115550,Z14515505783927X,Pwokar Imchyw,17,SMA 2,Agency 8,Dadra and Nagar Haveli and Daman and Diu,West + Northeast India,Telecommunications,Overdraft Facility
1045,87132,21899,Q11586464277445I,Jsghlm Rpuwav,13,SMA 1,Agency 3,Lakshadweep,West + Central India,Manufacturing,Business Loan
701,65832,26301,Y14084708943805W,Exwxwv Fbidjc,17,SMA 0,Agency 5,Puducherry,West + Union Territories,Telecommunications,Education Loan
2423,27768,27767,N29762142619654Y,Vujcal Ubiloa,11,SMA 0,Agency 6,Delhi,Northeast + Central India,Automotive,Loan Against Property
1190,46228,46227,D64936554857408C,Zwvavo Nmyuoz,17,SMA 1,Agency 3,Haryana,Northeast + Union Territories,Pharmaceuticals,Car Loan
1504,35249,2815,F95788876594905H,Hsxnpv Kglbuz,16,SMA 2,Agency 7,Himachal Pradesh,Central + Union Territories,Automotive,Loan Against Property
1118,80330,80329,M33436489340318A,Xsoszt Wlpkgx,13,SMA 0,Agency 4,Jammu and Kashmir,North + East India,Telecommunications,Home Loan
342,150394,3617,I71797850351654Q,Vwgoml Euadfu,15,SMA 1,Agency 4,Punjab,North + West India,Finance,Business Loan
2433,70311,27393,M51867924285696W,Napzzq Phkflz,20,SMA 1,Agency 2,Rajasthan,North + Northeast India,Automotive,Personal Loan
1312,136563,136562,K34305545470460G,Yhkxia Mzqxtz,16,SMA 2,Agency 1,Uttar Pradesh,North + Central India,Technology,Overdraft Facility
1869,34079,34078,C14993456022296H,Rboaax Xmpbuk,17,SMA 2,Agency 8,Uttarakhand,North + Union Territories,Food and Beverage,Home Loan
812,63399,63398,U20097859509122E,Brszes Dotdzl,16,SMA 2,Agency 5,Andhra Pradesh,South + East India,Technology,Home Loan
1850,208465,82637,T35120247272199C,Qzmkks Lrbkqt,19,SMA 1,Agency 1,Karnataka,South + West India,Telecommunications,Gold Loan
2297,12754,5853,G56647145595916R,Sohoeb Vbqwmd,18,SMA 2,Agency 7,Kerala,South + Northeast India,Food and Beverage,Overdraft Facility
2381,142480,109382,O63550789074306D,Xdxwgg Gtnamz,16,SMA 1,Agency 2,Tamil Nadu,South + Central India,Manufacturing,Personal Loan
429,42263,42262,W91348211909312S,Bvyisp Apzihy,12,SMA 2,Agency 4,Telangana,South + Union Territories,Automotive,Business Loan
299,203448,136692,S34085589022891A,Voelan Xkypke,19,SMA 1,Agency 4,Bihar,East + West India,Automotive,Gold Loan
1929,98662,98661,V22475875551775M,Lkvcrq Uydduh,17,SMA 2,Agency 6,Jharkhand,East + Northeast India,Telecommunications,Education Loan
718,236391,80262,B84262078247196B,Zmbbhj Rhnwmh,16,SMA 0,Agency 1,Odisha,East + Central India,Telecommunications,Home Loan
1644,81449,34561,T72655803707560V,Qheenq Hsdfup,20,SMA 2,Agency 7,West Bengal,East + Union Territories,Healthcare,Education Loan
2479,61346,61345,J99562342640965Y,Lzmdab Sufiyj,11,SMA 0,Agency 8,Sikkim,West + Northeast India,Food and Beverage,Loan Against Property
2256,71881,71880,D20215398259543B,Cqfpwt Cqotvj,11,SMA 1,Agency 7,Andaman and Nicobar Islands,West + Central India,Food and Beverage,Mortgage Loan
1455,17426,17425,N63232798385656U,Bfpjnw Qqueqp,15,SMA 0,Agency 8,Goa,West + Union Territories,Food and Beverage,Education Loan
